Frame Rate:,29.9700000915
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,6.713977008468254,9.488877188363828,2.6067526655258653,8.046301171515072
2,00:00:00.067,5.535759729717872,7.806239304988812,2.3146965907595103,6.486343293405292
3,00:00:00.100,5.387971128954412,7.3544820323812035,2.2207121232065288,6.588719231275504
4,00:00:00.133,6.1316528454214385,8.15989864420166,2.4691325523232854,7.76592733973937
5,00:00:00.167,5.861710763020491,8.10204686060287,2.427603001184678,7.055482427273924
6,00:00:00.200,6.277554736518802,8.836777675398183,2.5209951296564435,7.474891404501777
7,00:00:00.234,5.2676275722873065,6.900388311175464,2.2474661050414637,6.655028300644991
8,00:00:00.267,7.167555175288491,9.54208898249309,2.840035540344873,9.12054100302751
9,00:00:00.300,6.480463779562108,9.033368434908516,2.4065091483480323,8.001513755429775
10,00:00:00.334,6.477271730068888,8.802356193234171,2.5542648413847573,8.075194155587733
11,00:00:00.367,5.582971348339257,6.930301434776886,2.474924312228511,7.343688298012373
12,00:00:00.400,7.164911587907508,9.29870343556667,2.8176253784388576,9.378405949716994
13,00:00:00.434,6.482887982098197,8.354942740555483,2.911182045544294,8.182539160194814
14,00:00:00.467,6.4911149137817565,8.51141898117678,2.85569961827037,8.106226141898118
15,00:00:00.501,6.404161730507656,8.384526786889563,2.7819863103856783,8.045972094247729
16,00:00:00.534,7.449673116581106,9.554659734105568,3.4022311438725814,9.39212847176517
17,00:00:00.567,7.088181738405511,9.190239568250625,3.37791233381598,8.696393313149928
18,00:00:00.601,7.390274669825807,9.51786889561669,3.556568382256154,9.09638673160458
19,00:00:00.634,6.779342723004695,8.705311307094906,3.1498946952744507,8.482822166644729
20,00:00:00.667,6.580459391865209,8.618138738975912,2.8503685665394234,8.272870870080295
21,00:00:00.701,6.168564345575008,8.165690404106885,2.5116822429906542,7.828320389627485
22,00:00:00.734,8.412366723706727,11.678557325259971,3.1104712386468343,10.448071607213373
23,00:00:00.767,6.981626519240051,9.365604844017374,2.787712254837436,8.791562458865341
24,00:00:00.801,6.855491202667721,8.939844675529814,2.88847571409767,8.738153218375675
25,00:00:00.834,6.164790926242816,8.081183361853363,2.579636698696854,7.833552718178228
26,00:00:00.868,6.669617392830503,9.013195998420429,2.718770567329209,8.276885612741872
27,00:00:00.901,6.3847571409767,8.382321969198367,2.7405554824272738,8.031393971304462
28,00:00:00.934,7.047584572857706,10.266223509279978,2.6014874292483876,8.275042780044755
29,00:00:00.968,6.09062787942609,8.499341845465315,2.491937606950112,7.280604185862841
30,00:00:01.001,6.9256504760651145,9.379261550612084,2.825852310122417,8.57183756746084
31,00:00:01.034,6.132113553595716,8.368895616690798,2.572166644728182,7.455278399368171
32,00:00:01.068,7.227611776578474,10.304100302751086,2.8807094905883903,8.498025536395946
33,00:00:01.101,5.897108507744285,7.541167566144531,2.6514413584309597,7.4987165986573645
34,00:00:01.134,6.904962485191523,9.182374621561143,2.7411807292352246,8.791332104778203
35,00:00:01.168,6.335724628142688,8.501415032249572,2.6899763064367512,7.81578254574174
36,00:00:01.201,6.626124347330087,8.765433723838358,2.899433987100171,8.213505331051731
37,00:00:01.235,6.215205563599667,8.217190996445966,2.75085560089509,7.677570093457944
38,00:00:01.268,7.128219472598833,9.600401474266159,3.008588916677636,8.775668026852705
39,00:00:01.301,5.863224518450266,7.413288140055285,2.770238251941556,7.406147163353955
40,00:00:01.335,6.6764292922644906,8.779847308147954,2.808937738581019,8.4405028300645
41,00:00:01.368,5.877045763678645,7.531525602211399,2.572396998815322,7.527214690009214
42,00:00:01.401,6.592130665613619,8.662333815979991,2.7244965117809663,8.3895616690799
43,00:00:01.435,6.440919661269799,8.435007239699882,2.836711859944715,8.051039884164801
44,00:00:01.468,7.836635075249002,10.724792681321574,2.8898907463472425,9.89522179807819
45,00:00:01.502,6.442663770786713,8.728478346715809,2.55025009872318,8.049262866921152
46,00:00:01.535,7.119937694704049,9.040575227063314,2.7313413189416873,9.587896538107147
47,00:00:01.568,5.552345223991927,6.9498157167302885,2.429149664341187,7.278070290904305
48,00:00:01.602,7.31929270326006,10.5716072133737,2.596156377517441,8.790114518889036
49,00:00:01.635,6.291792812952482,8.553606686850072,2.4420494932210084,7.879722258786363
50,00:00:01.668,6.5656180071080685,9.06857970251415,2.56772410161906,8.060550217190997
51,00:00:01.702,6.037701285595191,8.258128208503356,2.391075424509675,7.463900223772542
52,00:00:01.735,6.41066649115879,8.416907989996051,2.7247268658681056,8.090364617612215
53,00:00:01.768,6.105195033127111,7.80327760958273,2.8642885349480056,7.648018954850599
54,00:00:01.802,6.319555965073932,7.929577464788732,2.9730156640779253,8.05607476635514
55,00:00:01.835,5.714799701636611,7.323022245623273,2.7243977886007635,7.096979070685797
56,00:00:01.869,6.763601860383485,9.229564301698039,3.061208371725681,8.000032907726734
57,00:00:01.902,6.012439120705541,7.721699355008556,2.695044096353824,7.620573910754245
58,00:00:01.935,6.672425518845158,8.979004870343557,2.751118862708964,8.287152823482954
59,00:00:01.969,5.59645254705805,7.325325786494669,2.2858694221403186,7.17816243253916
60,00:00:02.002,6.566341977096222,9.182177175200737,2.554692641832302,7.962156114255627
61,00:00:02.035,5.7863191610723534,7.6350862182440435,2.3459260234303017,7.377945241542714
62,00:00:02.069,6.325775525426703,8.721896801368962,2.54528103198631,7.710148742924838
63,00:00:02.102,5.4214273178008865,7.376168224299065,2.3572791891536133,6.53083453994998
64,00:00:02.135,5.410655521916546,7.258424378043965,2.3245689087797814,6.648973278925892
65,00:00:02.169,5.829241805976044,8.017671449256285,2.6314663683032777,6.838587600368567
66,00:00:02.202,7.502347417840376,10.682868237462156,3.0882585231012243,8.735915492957746
67,00:00:02.236,6.6373458821464615,9.11859944715019,2.814235882585231,7.9792023167039625
68,00:00:02.269,7.57183756746084,11.661050414637357,2.587830722653679,8.466631565091484
69,00:00:02.302,13.26185775086657,23.124917730683165,3.8170988548111096,12.843556667105437
70,00:00:02.336,18.725966390241762,35.96143214426748,4.627978149269448,15.588488877188365
71,00:00:02.369,8.713516300293977,14.489173357904436,3.030077662235093,8.621297880742398
72,00:00:02.402,7.634318371286912,11.274746610504147,3.1408121626958008,8.487396340660787
73,00:00:02.436,6.392622087666186,9.480057917599053,2.650651572989338,7.047156772410162
74,00:00:02.469,5.5890044315738665,7.236211662498355,2.43484270106621,7.0959589311570355
75,00:00:02.503,6.149324294677723,8.284322758983809,2.7858365144135844,7.377813610635777
76,00:00:02.536,6.747564828221666,9.407134395155982,2.7051138607345004,8.130446228774517
77,00:00:02.569,6.423193365802291,8.565321837567462,2.755693036725023,7.948565223114387
78,00:00:02.603,7.2044227984730815,9.991641437409504,2.902757667500329,8.718869290509412
79,00:00:02.636,6.723520249221184,9.305877319994735,2.794227984730815,8.070455442938002
80,00:00:02.669,7.005221359308499,9.318053178886403,3.112676056338028,8.584934842701067
81,00:00:02.703,5.746226580667808,7.776194550480453,2.5150388311175464,6.947446360405423
82,00:00:02.736,7.048780220262384,10.100763459260234,2.740588390154008,8.30498881137291
83,00:00:02.769,6.1526040981089025,8.677964986178754,2.4417533236804,7.338093984467553
84,00:00:02.803,6.266278355491203,8.47235750954324,2.5341582203501383,7.7923193365802295
85,00:00:02.836,5.700046070817429,7.719659075951033,2.3929511649335264,6.987527971567724
86,00:00:02.870,5.927241016190602,7.7782348295379755,2.4942082400947743,7.5092799789390545
87,00:00:02.903,5.851454521521653,8.071475582466762,2.3048900881927077,7.177997893905489
88,00:00:02.936,7.136281865648722,10.925727260760826,2.5938857443727787,7.889232591812558
89,00:00:02.970,13.02651265850555,22.192082400947744,4.250361984994076,12.637093589574832
90,00:00:03.003,13.976865868105833,25.885941819139134,3.866526260365934,12.178129524812427
91,00:00:03.036,7.8666578912728715,12.37271291299197,2.798407266026063,8.42885349480058
92,00:00:03.070,6.981308411214954,10.257108068974595,2.7302224562327235,7.9565947084375415
93,00:00:03.103,6.261528673599227,8.974957219955245,2.658944320126366,7.150684480716072
94,00:00:03.136,6.718704751875741,9.458273002500988,2.7675398183493485,7.930301434776886
95,00:00:03.170,6.184140669562546,8.753455311307095,2.449815716730288,7.349150980650257
96,00:00:03.203,6.499692861217146,9.17536527576675,2.6313347373963407,7.6923785704883505
97,00:00:03.237,6.184711070159273,8.685105962880085,2.5420231670396207,7.327004080558115
98,00:00:03.270,6.486793032337327,9.080854284586021,2.535211267605634,7.844313544820324
99,00:00:03.303,5.318645517967618,6.866657891272871,2.3432604975648283,6.746018165065157
100,00:00:03.337,6.477129129919706,8.425003290772674,2.7255166513097273,8.280867447676714
101,00:00:03.370,5.758490193497433,7.5283664604449125,2.5512702382519414,7.195833881795446
102,00:00:03.403,6.179303233732615,8.214755824667632,2.5566671054363566,7.766486771093853
103,00:00:03.437,5.924114782150849,7.782315387653021,2.500987231802027,7.489041726997499
104,00:00:03.470,6.2992738361633975,8.446294589969725,2.5902988021587467,7.861228116361722
105,00:00:03.504,5.865363520687992,8.038732394366198,2.4928590232986707,7.064499144399105
106,00:00:03.537,7.277401167127375,10.666381466368303,2.821903382914308,8.343918652099513
107,00:00:03.570,6.13398929401957,8.452283796235356,2.5234632091615112,7.42622087666184
108,00:00:03.604,6.848558641569039,9.688166381466369,2.807687244965118,8.049822298275636
109,00:00:03.637,6.2709293142029745,8.740325128340134,2.6581874424114784,7.414275371857312
110,00:00:03.670,6.854909832828748,8.99572199552455,3.009971041200474,8.559036461761222
111,00:00:03.704,5.562809881093415,6.866624983546137,2.6998486244570223,7.121956035277083
112,00:00:03.737,6.1502566802685275,7.920527839936817,2.752106094510991,7.778136106357773
113,00:00:03.770,5.923281119740248,7.829241805976043,2.6497301566407794,7.290871396603922
114,00:00:03.804,6.829011451888904,9.660096090562064,2.832960379097012,7.9939778860076345
115,00:00:03.837,5.710839805186258,7.349085165196788,2.6854350401474267,7.097999210214558
116,00:00:03.871,6.923807643367996,9.14624193760695,2.9936817164670266,8.631499276030011
117,00:00:03.904,6.810802509762625,9.288502040279058,3.0989535342898513,8.044951954718968
118,00:00:03.937,7.074623754991006,9.222982756351191,3.326444649203633,8.674443859418192
119,00:00:03.971,7.09726427098416,9.177109385283664,3.41977096222193,8.694912465446887
120,00:00:04.004,7.693563248650784,10.912662893247335,3.4042385152033696,8.763788337501646
121,00:00:04.037,6.541332104778202,8.961399236540739,3.034125312623404,7.628471765170462
122,00:00:04.071,7.395814137159405,10.508029485323155,3.073680400157957,8.605732525997103
123,00:00:04.104,5.987988679742003,7.907364749243122,2.6765499539291824,7.380051336053706
124,00:00:04.137,6.929171602825677,9.557094905883902,2.9219757799131236,8.308444122680005
125,00:00:04.171,6.6450462902022736,8.890746347242333,2.8562261418981176,8.188166381466369
126,00:00:04.204,7.533752358387083,10.422271949453732,3.1103396077398973,9.068645517967619
127,00:00:04.238,6.505747882936247,8.533664604449125,3.0176385415295512,7.9659405028300645
128,00:00:04.271,7.135557895660567,9.406838225615374,3.1177109385283663,8.882124522837962
129,00:00:04.304,6.584605765433724,8.554166118204554,2.9942411478215085,8.20541003027511
130,00:00:04.338,7.286922469395814,10.288732394366198,2.8075885217849152,8.76444649203633
131,00:00:04.371,6.096814532052125,8.180630512044228,2.507239699881532,7.602573384230618
132,00:00:04.404,5.875082269316835,7.245294195077004,2.5739765696985653,7.805976043174938
133,00:00:04.438,5.738032556710983,7.0470580492299595,2.507502961695406,7.659536659207582
134,00:00:04.471,5.891316747839059,7.534388574437278,2.6938923259181258,7.445669343161774
135,00:00:04.505,5.407935149839848,6.866592075819402,2.5386665789127285,6.818546794787416
136,00:00:04.538,6.343655390285639,8.32549032512834,2.894168750822693,7.811307094905884
137,00:00:04.571,6.226273529024614,8.633440831907333,2.826872449651178,7.218507305515335
138,00:00:04.605,12.607081742793206,21.925562722127154,4.114650519942082,11.781031986310385
139,00:00:04.638,14.984182352683078,28.316210346189287,4.027872844543899,12.608463867316045
140,00:00:04.671,8.970185599578782,14.252435171778334,3.0690075029616954,9.589114123996314
141,00:00:04.705,7.457187047518758,11.159010135579834,2.5258983809398448,8.686652626036594
142,00:00:04.738,6.734281075863279,9.567526655258655,2.3859418191391337,8.249374753192049
143,00:00:04.771,5.9172590057478835,8.741805976043175,2.2690864815058576,6.740884559694616
144,00:00:04.805,6.193058663507525,8.89258917993945,2.376530209293142,7.310056601289983
145,00:00:04.838,5.32181562897635,7.294919046992233,2.1431157035671977,6.52741213636962
146,00:00:04.872,6.25455223553157,8.247564828221666,2.6159668290114517,7.90012504936159
